YEAR,AGE_GROUP,LEADING_CAUSES_OF_DEATH,FATALITIES
1990,All Ages,All Causes,102697
1990,All Ages,Heart disease,35158
1990,All Ages,Malignant neoplasms,24443
1990,All Ages,Cerebrovascular disease,6737
1990,All Ages,Pneumonia and influenza,3957
1990,All Ages,Unintentional injuries,3873
1990,All Ages,Unintentional injuries: motor vehicle,1807
1990,All Ages,Unintentional injuries: all other,2066
1990,All Ages,Chronic obstructive pulmonary disease and other allied diseases,3814
1990,All Ages,Diabetes mellitus,2247
1990,All Ages,Congenital anomalies and perinatal conditions,1660
1990,All Ages,Cirrhosis of liver,1376
1990,All Ages,Homicide,1335
1990,All Ages,Nephritis,1186
1990,All Ages,Suicide,1148
1990,Ages 1-4,All Causes,315
1990,Ages 1-4,Unintentional injuries,115
1990,Ages 1-4,Unintentional injury: motor vehicle,26
1990,Ages 1-4,Unintentional injuries: all other,89
1990,Ages 1-4,Congenital anomalies,38
1990,Ages 1-4,Malignant neoplasms,24
1990,Ages 1-4,Homicide,23
1990,Ages 1-4,Heart disease,10
1990,Ages 1-4,Pneumonia and influenza,9
1990,Ages 1-4,Meningitis,6
1990,Ages 1-4,Certain conditions originating in the perinatal period,5
1990,Ages 1-4,Infantile cerebral palsy,5
1990,Ages 1-4,Anemia,5
1990,Ages 5-14,All Causes,350
1990,Ages 5-14,Unintentional Injuries,149
1990,Ages 5-14,Unintentional injuries: motor vehicle,78
1990,Ages 5-14,Unintentional injuries: all other,71
1990,Ages 5-14,Malignant neoplasms,37
1990,Ages 5-14,Homicide,36
1990,Ages 5-14,Congenital anomalies,22
1990,Ages 5-14,Heart disease,13
1990,Ages 5-14,Infantile cerebral palsy,9
1990,Ages 5-14,Chronic obstructive pulmonary diseases and allied conditions,7
1990,Ages 5-14,Benign neoplasms,7
1990,Ages 15-24,All Causes,1651
1990,Ages 15-24,Unintentional Injuries,610
1990,Ages 15-24,Unintentional injuries: motor vehicle,463
1990,Ages 15-24,Unintentional injuries: all other,147
1990,Ages 15-24,Homicide,474
1990,Ages 15-24,Suicide,192
1990,Ages 15-24,Malignant neoplasms,89
1990,Ages 15-24,Heart disease,53
1990,Ages 15-24,Injuries undetermined origin whether accidentally or purposely inflicted,21
1990,Ages 15-24,HIV infection,20
1990,Ages 15-24,Congenital anomalies,20
1990,Ages 15-24,Chronic obstructive pulmonary diseases and allied diseases,15
1990,Ages 15-24,Pneumonia and influenza,14
1990,Ages 25-44,All Causes,6453
1990,Ages 25-44,Unintentional injuries,1205
1990,Ages 25-44,Unintentional injuries: motor vehicle,610
1990,Ages 25-44,Unintentional injuries: all other,595
1990,Ages 25-44,Malignant neoplasms,1001
1990,Ages 25-44,Heart disease,763
1990,Ages 25-44,HIV infection,621
1990,Ages 25-44,Homicide,586
1990,Ages 25-44,Suicide,478
1990,Ages 25-44,Chronic liver disease and cirrhosis,342
1990,Ages 25-44,Cerebrovascular disease,169
1990,Ages 25-44,Pneumonia and influenza,118
1990,Ages 25-44,Diabetes mellitus,108
1990,Ages 45-64,All Causes,17860
1990,Ages 45-64,Malignant neoplasms,6720
1990,Ages 45-64,Heart disease,5214
1990,Ages 45-64,Unintentional injuries,703
1990,Ages 45-64,Unintentional injuries: motor vehicle,318
1990,Ages 45-64,Unintentional injuries: all other,385
1990,Ages 45-64,Cerebrovascular disease,690
1990,Ages 45-64,Chronic liver disease and cirrhosis,555
1990,Ages 45-64,Chronic obstructive pulmonary disease and allied diseases,542
1990,Ages 45-64,Diabetes mellitus,453
1990,Ages 45-64,Pneumonia and influenza,305
1990,Ages 45-64,Suicide,249
1990,Ages 45-64,HIV infection,180
1990,Age 65 and Older,All Causes,73978
1990,Age 65 and Older,Heart disease,29078
1990,Age 65 and Older,Malignant neoplasms,16568
1990,Age 65 and Older,Cerebrovascular disease,5859
1990,Age 65 and Older,Pneumonia and influenza,3468
1990,Age 65 and Older,Chronic obstructive pulmonary diseases and other allied conditions,3188
1990,Age 65 and Older,Diabetes mellitus,1679
1990,Age 65 and Older,Unintentional injuries,1040
1990,Age 65 and Older,Unintentional injuries: motor vehicle,306
1990,Age 65 and Older,Unintentional injuries: all other,734
1990,Age 65 and Older,Nephritis,962
1990,Age 65 and Older,Septicemia,841
1990,Age 65 and Older,General arteriosclerosis,737
1991,All Ages,All Causes,103871
1991,All Ages,Heart disease,35561
1991,All Ages,Malignant neoplasms,24388
1991,All Ages,Cerebrovascular disease,6881
1991,All Ages,Chronic obstructive pulmonary diseases and other allied conditions,3926
1991,All Ages,Pneumonia and influenza,3924
1991,All Ages,Unintentional injuries,3732
1991,All Ages,Unintentional injuries: motor vehicle,1658
1991,All Ages,Unintentional injuries: all other,2074
1991,All Ages,Diabetes mellitus,2309
1991,All Ages,Homicide,1447
1991,All Ages,Nephritis,1348
1991,All Ages,Cirrhosis of liver,1345
1991,All Ages,Suicide,1178
1991,All Ages,Septicemia,1091
1991,Ages 1-4,All Causes,383
1991,Ages 1-4,Unintentional injuries,148
1991,Ages 1-4,Unintentional injuries: motor vehicle,33
1991,Ages 1-4,Unintentional injuries: all other,115
1991,Ages 1-4,Congenital anomalies,46
1991,Ages 1-4,Malignant neoplasms,26
1991,Ages 1-4,Homicide,22
1991,Ages 1-4,Heart disease,22
1991,Ages 1-4,Pneumonia and influenza,18
1991,Ages 1-4,Certain conditions originating in the perinatal period,7
1991,Ages 1-4,Infantile cerebral palsy,7
1991,Ages 1-4,Chronic obstructive pulmonary diseases and allied conditions,6
1991,Ages 1-4,Meningitis,6
1991,Ages 5-14,All Causes,408
1991,Ages 5-14,Unintentional injuries,156
1991,Ages 5-14,Unintentional injuries: motor vehicle,73
1991,Ages 5-14,Unintentional injuries: all other,83
1991,Ages 5-14,Malignant neoplasms,54
1991,Ages 5-14,Homicide,39
1991,Ages 5-14,Heart disease,23
